hi there  I 'm having problems with my account and cannot get into it - can you help me reset my password?,1_reset_username_password
I need a password reset - can you call me at 555-555-5555 ? Its very urgent,1_reset_username_password
password,1_reset_username_password
password reset,1_reset_username_password
password problems,1_reset_username_password
I need a new password,1_reset_username_password
help me change my password,1_reset_username_password
password update,1_reset_username_password
hello - my username and password are not working and I need help,1_reset_username_password
can you bounce my credentials?,1_reset_username_password
I need new creds,1_reset_username_password
can you update my access login and password,1_reset_username_password
new login creds,1_reset_username_password
account access,1_reset_username_password
my name is * and I need help accessing my account ,1_reset_username_password
I cannot log on to my online banking account,1_reset_username_password
can you help me reset things?,1_reset_username_password
cannot get into my accounts,1_reset_username_password
need assistance with a transfer of international funds,2_transfer_funds_international
can you help me onshore funds from singapore to canada,2_transfer_funds_international
need to move money from hong kong to USA,2_transfer_funds_international
need some help with an international transfer of funds from europe to america - can you help?,2_transfer_funds_international
can you help me transfer some money to my daughter's account in the UK?,2_transfer_funds_international
transfer funds internationally,2_transfer_funds_international
international funds transfer,2_transfer_funds_international
someone stole my purse and all my credit cards and I need to lock down my accounts,3_fraud_security
my social security number was stolen,3_fraud_security
my social insurance number was stolen,3_fraud_security
identity theft,3_fraud_security
burglers stole my papers and have my bank details   I need help locking down my accounts,3_fraud_security
I've notified the police who told me to contact the bank to lock down my bank accounts against fraud,3_fraud_security
there are a number of withdrawls I did not authorize on my account ,3_fraud_security
someone is stealing from my bank account,3_fraud_security
I'm concerned there is unauthorized access to my account,3_fraud_security
fraud,3_fraud_security
security concerns,3_fraud_security
can you provide forms for my tax returns,4_tax_assistance
transfor records for tax purposes,4_tax_assistance
tax forms,4_tax_assistance
I have a question whether the transactions are taxable under Canadian law,4_tax_assistance
are my retirement accounts like RRSP or IRA taxable if I leave the funds in account while trading,4_tax_assistance
when will my forms be ready for me to file my taxes?,4_tax_assistance
I am not happy  one of your agents treated me very rudely -,5_complaints_general
the call agent had poor language skills and was difficult to make my transactions,5_complaints_general
you need better training from your team  as they did not know the difference,5_complaints_general
the agent was terrific - she was so helpful and nice and helped me get,5_complaints_general
your customer service sucks,5_complaints_general
your bank sucks because your fees are way too high,5_complaints_general
this email is to complain because,5_complaints_general
you suck,5_complaints_general
I hate you,5_complaints_general
never contact me again,5_complaints_general
the agent was terrific - she was so helpful and nice and helped me get,6_positive_feedback_general
my service was terrific,6_positive_feedback_general
the agent was amazing and good and super helpful,6_positive_feedback_general
positive experience,6_positive_feedback_general
great customer service,6_positive_feedback_general
I love your company,6_positive_feedback_general
you are great,6_positive_feedback_general
happy,6_positive_feedback_general
awesome and terrific,6_positive_feedback_general
love the work you are doing,6_positive_feedback_general
I need some information ,7_information_request
can I get the transfer number for my account?,7_information_request
need some more information on my account,7_information_request
need to know whethere my funds will be avaialbe ,7_information_request
how many days between the event and the outcome,7_information_request
can you tell me when,7_information_request
information request ,7_information_request
who can I talk to regarding personal privacy,7_information_request
freedom of informaiton request,7_information_request
GDPR request from european citizen ,7_information_request
I'm a shareholder - can I talk to someone about getting a hardcopy of your annual report,7_information_request
THIS IS NOT A COMPLETE GROUND TRUTH - FOR EXAMPLE ONLY,7_information_request
unsubscribe,8_remove_from_contact_request
remove,8_remove_from_contact_request
please remove me from all communications,8_remove_from_contact_request
I don't want you to email me anymore,8_remove_from_contact_request
please stop calling me,8_remove_from_contact_request
do not email me again,8_remove_from_contact_request
please unsubscribe me from any future communications,8_remove_from_contact_request
do not contact me anymore,8_remove_from_contact_request
